Sample,ROI,Amplitude_mean,Amplitude_std,APD50_s_mean,APD50_s_std,APD90_s_mean,APD90_s_std,APD50_90_Ratio_mean,APD50_90_Ratio_std,Upstroke_Time_s_mean,Upstroke_Time_s_std,Repolarization_Time_s_mean,Repolarization_Time_s_std
CRISPH222P_PostISO003,#2 (Mono - Tx Red),0.010151555,0.002525064,0.20525,0.024368851,0.289416667,0.039380333,0.713241001,0.067512635,0.115,0.02236068,5.001333333,2.840596395
CRISPH222P_PostISO003,#3 (Mono - Tx Red),0.009960717,0.000649449,0.205666667,0.013190906,0.291222222,0.040415893,0.717618326,0.102424902,0.108888889,0.023687784,5.360777778,2.968119555
CRISPH222P_PostISO003,#4 (Mono - Tx Red),0.009268584,0.002029461,0.201846154,0.025851648,0.298769231,0.049112378,0.68179873,0.071068409,0.110846154,0.025935324,5.360307692,2.710027595
CRISPH222P_PostISO003,#5 (Mono - Tx Red),0.011963556,0.00061954,0.209272727,0.018590809,0.314727273,0.049351983,0.674828889,0.084500986,0.111,0.015066519,5.164818182,2.703972552
CRISPH222P_PostISO003,#6 (Mono - Tx Red),0.011727964,0.000672679,0.21175,0.021157956,0.310083333,0.036031447,0.686852808,0.062740082,0.11,0.019069252,5.323166667,2.690822444
CRISPH222P_PostISO003,#7 (Mono - Tx Red),0.010606693,0.000531616,0.217454545,0.02504142,0.298363636,0.03601742,0.732857051,0.077429253,0.120909091,0.025081685,5.828090909,2.865117256
CRISPH222P_PostISO003,#8 (Mono - Tx Red),0.009566404,0.000348107,0.208615385,0.013955515,0.312461538,0.035873889,0.674930094,0.082284886,0.111538462,0.022303271,5.234769231,2.763577517
CRISPH222P_PostISO003,#9 (Mono - Tx Red),0.009586765,0.000589359,0.1991,0.024066805,0.2811,0.0433191,0.714464365,0.073017911,0.116,0.025473298,5.4871,3.031504117
CRISPH222P_PostISO003,#10 (Mono - Tx Red),0.011319536,0.00043208,0.200111111,0.013232955,0.291222222,0.037261836,0.697063826,0.098068436,0.112222222,0.014813657,5.191666667,2.717206424
CRISPH222P_PostISO004,#1 (Mono - Tx Red),0.011184863,0.00062644,0.2051,0.019439079,0.3091,0.052018052,0.67252451,0.070910569,0.1091,0.020146409,6.1336,2.39868085
CRISPH222P_PostISO004,#2 (Mono - Tx Red),0.012330769,0.000403928,0.209272727,0.015735888,0.298363636,0.041560252,0.709464858,0.074766066,0.115545455,0.024295529,6.143727273,2.60497152
CRISPH222P_PostISO004,#3 (Mono - Tx Red),0.011146312,0.00072962,0.198363636,0.016039157,0.288454545,0.046018178,0.698052063,0.085969714,0.110090909,0.014145349,5.454181818,2.709777918
CRISPH222P_PostISO004,#4 (Mono - Tx Red),0.012405433,0.000695891,0.1982,0.01754233,0.2793,0.03376076,0.712727756,0.041727994,0.0991,0.011892575,5.7724,2.641877539
CRISPH222P_PostISO004,#5 (Mono - Tx Red),0.012193222,0.00063776,0.1982,0.021001587,0.2803,0.033833087,0.710055827,0.051780504,0.1071,0.017628575,5.9636,2.817960736
CRISPH222P_PostISO004,#6 (Mono - Tx Red),0.013063082,0.000576364,0.205461538,0.014063045,0.285538462,0.0158199,0.720843972,0.054617501,0.11,0.016832508,5.815153846,2.610870476
CRISPH222P_PostISO004,#7 (Mono - Tx Red),0.011564617,0.000596621,0.1972,0.012488217,0.2773,0.023921399,0.713856542,0.048955902,0.1061,0.025008665,5.6974,2.534152113
CRISPH222P_PostISO004,#8 (Mono - Tx Red),0.010875906,0.000793934,0.203818182,0.020643731,0.300181818,0.043751156,0.684828623,0.066578588,0.112818182,0.02203097,4.777272727,2.541640891
CRISPH222P_PostISO004,#9 (Mono - Tx Red),0.009513284,0.000485555,0.203,0.011421976,0.292285714,0.036803906,0.701158776,0.062955662,0.112214286,0.016248922,5.206785714,3.030214823
CRISPH222P_PostISO004,#10 (Mono - Tx Red),0.011188623,0.00096425,0.212583333,0.015494623,0.310916667,0.037283821,0.689631669,0.067105598,0.113333333,0.021033883,5.574166667,2.979490799
CRISPH222P_PostISO005,#1 (Mono - Tx Red),0.010878364,0.000483356,0.207888889,0.02067876,0.319111111,0.042829442,0.657952093,0.077885437,0.113444444,0.023596139,4.440111111,3.245320494
CRISPH222P_PostISO005,#2 (Mono - Tx Red),0.011974126,0.000536506,0.214444444,0.008819171,0.295777778,0.02752625,0.731503392,0.083387955,0.108888889,0.020883273,5.303,3.543964694
CRISPH222P_PostISO005,#3 (Mono - Tx Red),0.012822965,0.001723527,0.205545455,0.020156208,0.298454545,0.044380995,0.696099253,0.071148051,0.105545455,0.019602875,4.346090909,3.07827177
CRISPH222P_PostISO005,#4 (Mono - Tx Red),0.011335865,0.001427373,0.1991,0.011120052,0.2953,0.036120324,0.683303606,0.090813114,0.1061,0.015161721,4.2233,3.213917203
CRISPH222P_PostISO005,#5 (Mono - Tx Red),0.012123167,0.000905768,0.20175,0.019964172,0.306916667,0.046543154,0.665491753,0.073878487,0.099166667,0.021933094,4.807,3.387821424
CRISPH222P_PostISO005,#6 (Mono - Tx Red),0.00958163,0.001710375,0.2,0.01,0.677333333,0.040869712,0.295640533,0.015152377,0.106666667,0.011547005,5.451,4.194541214
CRISPH222P_PostISO005,#7 (Mono - Tx Red),0.012023149,0.000848019,0.198875,0.021616379,0.303875,0.052428012,0.663299145,0.07634338,0.106375,0.011685614,4.8625,2.986498619
CRISPH222P_PostISO005,#8 (Mono - Tx Red),0.010290504,0.000826107,0.206777778,0.014350765,0.311444444,0.036270205,0.671222839,0.083981013,0.107888889,0.022915303,5.138444444,3.347621062
CRISPH222P_PostISO005,#9 (Mono - Tx Red),0.01161419,0.001453432,0.2101,0.027408231,0.2992,0.044938971,0.705316668,0.048340626,0.1111,0.018405615,4.5625,3.139109968
CRISPH222P_PostISO005,#10 (Mono - Tx Red),0.010020494,0.000457625,0.205714286,0.02370453,0.298857143,0.05605482,0.703293221,0.111439307,0.11,0.014142136,3.983142857,3.120625868
CRISPH222P_PreISO002,#1 (Mono - Tx Red),0.001696905,,0.31,,1.371,,0.226112327,,0.08,,9.277,
CRISPH222P_PreISO002,#2 (Mono - Tx Red),0.001711978,0.000195236,0.2122,0.068128636,0.3165,0.043208153,0.661519817,0.157968405,0.0911,0.021366901,5.4333,3.013141884
CRISPH222P_PreISO002,#3 (Mono - Tx Red),0.001461195,0.000252894,0.165,0.043243497,0.270166667,0.03975131,0.628479711,0.21459558,0.088333333,0.011690452,4.466666667,3.898990724
CRISPH222P_PreISO002,#4 (Mono - Tx Red),0.002689119,0.000300336,0.215166667,0.045433101,0.2955,0.057308813,0.740223621,0.163826408,0.093333333,0.027325202,5.999666667,3.14970714
CRISPH222P_PreISO003,#1 (Mono - Tx Red),0.010966623,0.000360254,0.233095238,0.024128624,0.330285714,0.039181811,0.711787714,0.083965417,0.11052381,0.023997123,5.212095238,2.744447374
CRISPH222P_PreISO003,#2 (Mono - Tx Red),0.011791116,0.000391912,0.2308,0.019484407,0.33985,0.035233469,0.684710622,0.081157717,0.1091,0.019037083,5.15545,2.964991639
CRISPH222P_PreISO003,#3 (Mono - Tx Red),0.012941033,0.000361763,0.230761905,0.016723949,0.324142857,0.02367126,0.715952479,0.076224447,0.107238095,0.015971552,5.20352381,2.755736192
CRISPH222P_PreISO003,#4 (Mono - Tx Red),0.011618916,0.000475746,0.2376,0.021708458,0.357,0.056347138,0.676434946,0.088214117,0.110066667,0.014144492,4.961133333,3.120831068
CRISPH222P_PreISO003,#5 (Mono - Tx Red),0.011237377,0.000434674,0.233619048,0.017336309,0.327,0.037375125,0.719718999,0.064664493,0.114428571,0.020870006,5.202095238,2.759402905
CRISPH222P_PreISO003,#6 (Mono - Tx Red),0.010971455,0.000353573,0.2444,0.024224545,0.3358,0.035619417,0.731496059,0.067066787,0.125533333,0.025667842,5.7318,2.605330777
