DataTable:,LQT2iso_untreated
Date:, January 8 2026 13:55:15
Description:,Combined Primary_DataTable DataTable for group LQT2iso_untreated in plate D:\KIC Drive D\12-22-2025_Elliana\LQT2__199____LQT3__78c1__in_10uM_ROCKinhibitor_20251222173217
Channel:,Nucleus
Nucleus Enabled:,true
Nucleus Folder Name:,DAPI
Nucleus Thresholding Method:,SavitskyGolay
Nucleus Sensitivity:,100.0%
Nucleus Filtering Method:,None
Nucleus Filtering Radius:,5
Nucleus Size:,0
Channel:,Reference
Reference Enabled:,true
Reference Folder Name:,FluoVolt
Reference Thresholding Method:,SavitskyGolay
Reference Sensitivity:,100.0%
Reference Filtering Method:,None
Reference Filtering Radius:,1
Reference Size:,0
Channel:,Calcium
Calcium Enabled:,true
Calcium Folder Name:,FluoVolt
Calcium Thresholding Method:,SavitskyGolay
Calcium Sensitivity:,100.0%
Calcium Filtering Method:,None
Calcium Filtering Radius:,1
Calcium Size:,0
Channel:,Voltage
Voltage Enabled:,true
Voltage Folder Name:,FluoVolt
Voltage Thresholding Method:,SavitskyGolay
Voltage Sensitivity:,100.0%
Voltage Filtering Method:,None
Voltage Filtering Radius:,1
Voltage Size:,0
Channel:,TMRM
TMRM Enabled:,true
TMRM Folder Name:,FluoVolt
TMRM Thresholding Method:,SavitskyGolay
TMRM Sensitivity:,100.0%
TMRM Filtering Method:,None
TMRM Filtering Radius:,1
TMRM Size:,0


Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable

integer,id,ID of each record
1104,6400.0,300.11331193400935,0,1222.0,130.39938650162432,29,0,0.0040570667968477065,0.27339012458458756,1.8387743011591355,18.43382758054271,35.48279531473436,0.33930048533634244,0.5525405390262128,0.5525405390262128,0.2814880740306916,0.2814880740306916,0.2667674140726578,0.6384130501871605,1385.3899372356404,862.945087220821,683.7515569998941,568.3721356938553,470.7412193561379,1246.6643918842365,724.219541869417,545.02601164849,429.6465903424512,true,true,false,0.8293170777829103,35.11747344547807,1.0172004934487031,28.49315740929519,506.218141847369,0.005807649431502957,636.5914786967419,7.344110544461265E-5,0.362820331371678,0.012368181206465323,0.012368181206465323,28.49315740929519,2105.7687338092787,1.0123681812064653,1.0123681812064653,1.0,0.6208229754107619,0.03824021024633961,40.95003270432545,59.22378824903733,9.30226966414166,726.5491898263663,0.9294480297443282,72.6886784750019,0.029881015020000526,40.10025062656646,4.0660053680733856E-4,23.97136565355835,9.366550497500809E-4,9.31527048377572E-4,2.0,2.0,4.0,183.017; 2686.00; 4394.55,1690.960350440169,8.020484002195833,561.7504797533562,0.005385960231371219,5.750206794708794,156.00084222316875,1607.8500975112647,33.7136076996186,122.16683446046972,0.7635454319823181,3.254978460820113,11.81497427424897,0.07408260922412284,325.22917861196845,6.80717909041583,24.682226818396977,0.1544467696714433,358.0374329638874,0.2813349372777315,7.504642635595805,27.197718758391176,0.1700269489310003,547.1681745516944,11.56788324276291,41.80002025992637,0.2598424821143022,612.285283105203,12.94845092673566,46.78381518116353,0.2907656825151903,816.5624630015743,17.1924812160823,62.21170755895717,0.38777404654709396,1449.1659169214915,30.01008864460093,109.2153131514435,1091.1284839576042,0.6881885430504943,2.6808992855097022,0.8677273014082406,0.8947343345617285,63.775979685851084,46.50068281408643,49.26230648340727,31.98700961164262,46.58772694737762,29.312430075612966,43.91314741134775,26.6378505395831,1.7038846289370244,B02,0
1107,6911.0,313.8662135369145,0,1405.0,144.11106827721457,32,0,0.13923554798355448,0.1611022679230044,2.5596607173920303,25.660759071599298,35.118911764854886,0.2309196781788141,,,,,,,3216.0837544204524,2991.119285231602,1158.1919204909368,990.7719366124414,777.1366912586682,3037.4602181365926,2812.4957489477424,979.5683842070771,812.1484003285816,true,true,false,0.7187404017197144,14.236898166243895,1.015302461131718,14.236898166243895,875.1031489516048,0.0034864887322772257,2766.9172932330825,5.2559718988858E-5,1.0,0.014703141419995625,0.014703141419995625,14.236898166243895,4214.401149701398,1.0147031414199956,1.0147031414199956,1.0,1.0,0.027615449282967764,14.560796968280584,32.68772748207692,23.370938663310994,1589.5200893278243,2.3344793519317655,158.77418881090097,0.03559533030216509,10.025062656641609,5.233631753241889E-4,14.236898166243895,0.001015131184112475,0.0010087805213592007,1.0,1.0,3.0,177.839; 4392.24,1708.4811853436975,,,0.004296923912935911,4.232875494503397,181.72313420502596,4240.601503759399,65.32200809701058,262.53195487354424,1.0062168628773882,2.7992538401524727,11.250321358019246,0.043119562602127126,512.4866494719419,7.894318067080372,31.72760322166207,0.12160367066819279,551.9244801596674,0.1688038389939727,8.501816388539794,34.16916505604845,0.1309615436581714,889.6639459198854,13.704337799125211,55.0783219540429,0.21110091667066874,1007.9015514680868,15.525663811518422,62.398309388989944,0.23915652916417304,1307.6383131172818,20.142793516835653,80.9547518921272,0.3102785583688282,3269.620427171531,50.36506538718802,202.41936000797048,2717.6959470118636,0.7758208843985326,4.924035886622851,0.7932416531086539,0.7885567022648969,53.53667275107861,50.43707482991246,33.87456347240439,30.77496555123824,19.698432743010216,16.598834821844065,17.1296148556454,14.03001693447925,0.37358485667965363,B02,0
1108,6676.0,305.85617535044145,0,1344.0,136.13228860193308,33,0,0.07667890854944963,0.22293987766312062,1.8541845072592678,18.588315862248297,35.201704113775186,0.34091975113849593,0.4140259785417927,0.4140259785417927,0.46088898957091345,0.46088898957091345,0.3293963333757808,0.7327289910031004,666.1168313895288,541.2036037319513,481.7028498676039,371.58356446914075,311.5310415956923,604.805947657795,479.89272000021737,420.39196613587006,310.2726807374069,true,true,false,0.830773157558938,68.78507562768635,1.0167478695143426,42.69007930379966,313.66168527515833,0.007227258132130908,200.50125313283203,7.245557295495638E-5,0.5822315325756514,0.010755034045297466,0.010755034045297466,42.69007930379966,1405.4787664603766,1.0107550340452975,1.0107550340452975,1.0,0.7197350555610459,0.04454738922460949,37.384841549736365,81.69442541423254,4.433750818869579,464.07606624709223,0.44325290679181667,46.469050128914866,0.02574277724504007,23.39181286549716,3.141265198558766E-4,35.18322097499681,9.333678210470183E-4,9.291637647645396E-4,3.0,3.0,5.0,134.750; 1840.11; 2712.39; 4351.19,1704.4629375349105,19.67538751503039,462.9595523095633,0.005388217174855434,5.772876515938943,77.58842203503889,918.9751067110092,24.903276614633047,82.69098918654426,0.6538520030618457,2.010730777673818,6.781719330643803,0.055204264828874784,206.6415992372533,5.361337660923045,18.075290894148676,0.14702577098170552,232.13165953690137,0.2993618231804404,6.030949578493913,20.323355684955065,0.16516198257588235,351.0465268248947,9.188774362570543,30.882213178453814,0.2497700678246365,416.4641938325433,10.868505719726363,36.566831487520815,0.2963148243650711,553.0760374543195,14.660924290409328,49.0548891386087,0.39351433166593613,748.1980918747707,20.121350878582756,66.9880639596788,516.0664323378694,0.5323439312847591,2.5819845275253885,0.9123931829018067,0.8320146286388831,82.08126048524201,65.803722181937,63.694011944243194,47.41647364093819,53.14696195974167,36.86942365643666,44.880629363402484,28.603091060097483,1.5108183085829714,B02,0
1109,7227.0,329.520864286315,0,1372.0,160.63000964950479,34,0,-0.04900863667744133,0.2064671825801602,2.283554477520352,22.892776716996007,35.30546004908301,0.2598195454573777,0.48753177641899237,0.48753177641899237,0.25470620787134796,0.25470620787134796,0.24356519336992308,0.7650657656698817,1333.618314454762,743.5699763962783,614.9774712038421,545.4958365247085,402.7523296444553,1156.0747705073131,566.0264324488296,437.43392725639336,367.9522925772597,true,true,false,0.7510845239163766,34.45167996598702,1.0138669833670537,28.518184264847246,516.3229425773505,0.0058292480637253735,992.4812030075186,4.220432272254422E-5,0.27330978691859276,0.009764659994408564,0.009764659994408564,28.518184264847246,2103.9207630746187,1.0097646599944086,1.0097646599944086,1.0,0.6810899419338822,0.030577636326800953,66.26739965612582,104.5320131312506,7.3570656642103875,718.2719156456176,0.7348905414215983,71.81005946849265,0.018646799298306073,55.137844611528834,2.1038905812223511E-4,24.32821799765775,9.53689948192646E-4,9.494126651113804E-4,2.0,2.0,4.0,181.129; 2647.40; 4388.97,1699.4538498177249,7.263758569475588,512.4418674932656,0.004422711992046213,4.637473636403287,211.74459851419306,1644.336748741604,34.51172745395261,125.0379454869075,0.7815583065678815,4.426834921803335,16.060213281542037,0.1006428579585643,344.1873834515363,7.1835801523350895,26.07667007314747,0.1635933203817758,425.26937251424533,0.2968267511534106,8.852297938678547,32.163652942544374,0.20213183879262023,582.5903422334763,12.242790837355976,44.33735339138335,0.2769069788455783,618.6756996045472,13.044751241397256,47.187415820669585,0.29405846002509595,784.229479267018,16.558423935184045,59.869135476221714,0.37274667992770033,1440.422156396326,29.97027527146954,108.9095667152647,1015.1527838820807,0.6846370745879841,2.3691969112172764,0.8865509743814581,0.8783120203937956,106.80384194156403,72.60278737481977,87.68622109266828,53.485166525924015,80.25828032003595,46.05722575329169,73.17986307983864,38.97880851309438,1.7287228258604919,B02,0
1110,6293.0,296.98484809834997,0,1177.0,127.27922061357856,35,0,0.06119249438076922,0.22306015936109327,2.04903364250905,20.5416906517198,34.77283675646915,0.30602597106879265,0.3724840955105022,0.3724840955105022,0.4750019355367892,0.4750019355367892,0.33824512979644517,0.783517225716407,634.3816189573478,560.7412660471846,488.6009364659597,407.7184681158122,311.0047037618798,546.0468827775351,472.40652986737183,400.266200286147,319.3837319359995,true,true,false,0.7982613041079111,69.55145083158875,1.0169274786765947,42.65986508330041,348.5724547291777,0.006617901686095125,197.1595655806183,7.410995965316628E-5,0.56603159709246,0.010570305536543959,0.010570305536543959,42.65986508330041,1406.474209021527,1.010570305536544,1.010570305536544,1.0,0.7585936826179133,0.0507465345071145,18.93681117659773,44.485038116980114,4.1053672300375625,470.50523379738394,0.41076459144162025,47.16118095910647,0.03640889910392415,16.708437761069206,3.909365496915879E-4,34.370498493874116,0.0010494853408752043,0.0010449418806231954,3.0,3.0,5.0,131.571; 1877.25; 2739.92; 4350.99,1725.4847632998358,20.263518484305987,475.73305138583896,0.005545862128768366,5.284363594963097,97.34219367733492,842.3927592262843,22.756846705769032,75.62646289066775,0.5989393575957075,2.4650310288543587,8.380221746652708,0.06921008081979342,211.32645786772443,5.510150924416183,18.5377957290756,0.15025263635281486,265.1275622112412,0.3577805469263344,6.874067537112907,23.174243196650156,0.18850510056326475,367.50926590577546,9.581693851821926,32.23849566043715,0.26129826167338593,430.9531176166485,11.29575818017309,37.935206964192695,0.30640669757923195,539.7640714929356,14.106223825511293,47.42373093384109,0.38377104111169247,683.5273768396937,18.231878501976706,60.85665653617062,418.39981462845253,0.4859864279453928,1.9135544805785316,0.9411724684507458,0.8549215989553534,49.14575788234583,40.13830038482366,33.56133239209419,24.553874894572015,27.806636792868886,18.799179295346715,23.234649500836326,14.227192003314153,0.6376764786697607,B02,0
1111,6252.0,298.4225192575118,0,1118.0,128.7167432776327,36,0,0.10374517033973304,0.19576432660849555,2.1600228060965145,21.654363970892376,35.216578990670925,0.29961127294442996,,,,,,,3203.157691695971,1281.2608892818314,1140.2476951828976,968.1904977037457,850.0715199721187,3086.0303195811666,1164.1335171670266,1023.1203230680928,851.0631255889409,true,true,false,0.7920103110902807,14.233146208297217,1.0174488136348,14.233146208297217,831.5503487300971,0.0031741292322113837,2656.641604010025,5.320931327463388E-5,1.0,0.01744881363480011,0.01744881363480011,14.233146208297217,4215.5120956337105,1.0174488136348,1.0174488136348,1.0,1.0,0.02892284703121887,52.621745310008976,69.18313338320831,25.426185706512562,1535.893222867477,2.5395897746337988,153.419114033399,0.03659420059998387,50.125313283208015,6.385253863836088E-4,14.233146208297217,9.657907737194649E-4,9.592298370329748E-4,1.0,1.0,3.0,181.443; 4396.96,1703.7430017235447,,,0.005016856017288513,5.19455782122202,158.20469855841083,3603.5818354017592,55.50207490573123,223.0750209846445,0.8548384522806213,2.4366559248261384,9.793454974181886,0.037529176757024156,382.6926877891983,5.8942017119984875,23.690090376351257,0.09078201630249831,469.7930576599666,0.14301137146933948,7.2357145383182235,29.08192486885855,0.11144388795528849,884.172094040106,13.617946819154188,54.733517217333855,0.20974251146281908,1023.3108557703418,15.760950732642744,63.3467203053912,0.242748883778617,1246.0324808612174,19.19129112271794,77.13401124541839,0.29558270800641684,3285.004911379978,50.59537898263918,203.35393311778347,2815.2118537200113,0.7792659199774278,5.9924509479611014,0.7836852351408767,0.8091647472999535,81.84721968400657,40.769893240400506,60.11758357977061,19.04025713616454,57.61897082318339,16.54164437957732,55.1203580665962,14.043031622990128,1.800543752912611,B02,0
1112,6001.0,290.3101789465881,0,1055.0,120.59850745345068,37,0,0.009912332074088384,0.24008835430920342,2.048136358455339,20.53269532286054,35.39688125866466,0.3114100752475267,0.4967151721131063,0.4967151721131063,0.23788338778559776,0.23788338778559776,0.22869189067484955,0.6883973861925009,836.720768654332,710.4054441521182,632.8352349176944,567.8361397659962,395.01887872453915,722.262022876914,595.9466983747001,518.3764891402762,453.3773939885782,true,true,false,0.8034394330477006,33.93869167820858,1.0163239293100876,28.450479873835654,527.172629898412,0.004365777190294549,215.53884711779446,4.814570151651916E-5,0.3143780386983801,0.01139394855771636,0.01139394855771636,28.450479873835654,2108.92752129565,1.0113939485577164,1.0113939485577164,1.0,0.4080877473178019,0.032945312604815015,71.62634286820726,112.30626704972632,8.180404081135778,742.9358269028173,0.817645644541292,74.35718423851309,0.019361262316265327,75.18796992481204,2.619258181841944E-4,24.490182571952907,9.782305338995455E-4,9.733618971123959E-4,2.0,2.0,4.0,181.510; 2631.47; 4399.37,1695.0645894915624,6.767896536513991,482.2946221413262,0.005243062352294744,5.359741053465373,147.37745789956654,1597.3648876375464,33.683729472262215,121.8517856423284,0.7574299597817294,3.1662901155215386,11.381739748072338,0.06988265666381131,346.952375134921,7.345952323730526,26.53738405074781,0.1645160260992591,419.10111889730905,0.42207961841422825,8.833143216702812,31.959655656539738,0.19872713247149823,598.7989727666193,12.647778949678399,45.72786342900629,0.28393530205283607,645.9421776094579,13.663741496924365,49.37610762761815,0.3062894153956576,779.6509744743965,16.453094212273754,59.50398556666516,0.36969073929833624,954.9890141593137,20.246366240444836,73.10761960484885,535.8878952620046,0.4528315954512284,1.388462580960487,0.9456454585333407,0.8689070285019939,118.2682455049816,85.34953338283317,96.00588013174121,63.08716800959277,85.26169330825039,52.34298118610195,78.10603784346162,45.18732572131319,1.858842315923082,B02,0
1114,6066.0,292.9300257740746,0,1051.0,123.2233744059949,39,0,-0.05601571233144547,0.24652938960796283,2.0586739171711335,20.63833500923442,35.37511601823375,0.2953832638860537,0.4699873029315964,0.4699873029315964,0.25230910425695335,0.25230910425695335,0.24145977331783886,0.7396035251405898,1297.0846566085597,719.0060600522355,674.1406142992795,581.5591482112086,339.82608096512274,1113.1945350198014,535.1159384634772,490.25049271052114,397.66902662245025,true,true,false,0.7878404536691844,34.39396058337181,1.0149414326859745,28.521609937810194,502.61175542376486,0.006206755263534123,426.065162907268,5.9422537637496136E-5,0.24796140878956555,0.010475440115614187,0.010475440115614187,28.521609937810194,2103.6680654011716,1.0104754401156142,1.0104754401156142,1.0,0.5480594038771849,0.031205575233503008,85.66049703535313,128.4317615179583,8.09081839186191,760.8319527133548,0.8082901321148961,76.1098980538929,0.023067244827022035,85.21303258145365,2.869619491145868E-4,24.362080807403856,9.99564581660097E-4,9.945541339368524E-4,2.0,2.0,4.0,178.993; 2641.84; 4386.33,1696.1075115364597,7.196261855375109,507.9512142077435,0.005133129661999298,5.135365694404752,221.28496780685663,1517.8136368170547,31.782984005020943,115.24431403060848,0.7215081417930856,4.580857820890881,16.67598040498111,0.10519005894813419,426.3395357858229,8.856992462634054,32.20321715864063,0.2026648323458385,466.3248027705596,0.3299780418412803,9.741697936335191,35.35200549849037,0.2216722354824695,588.272252459118,12.385912796212704,44.82682716012521,0.27964119536459947,673.7483408685393,14.235687676272779,51.45935356903969,0.32027312290832105,801.0100241929725,16.978388969667538,61.307239580774215,0.38076825777179785,1421.9684081443852,29.688589727700165,107.75908673700974,955.6436053738256,0.675947138016384,2.0308085044425424,0.8927623785066392,0.8111289864790981,124.88375153582547,87.48890531772722,110.92351666096982,73.52867044287157,100.13149135073095,62.7366451326327,92.18919265733079,54.79434643923254,3.555307824771276,B02,0
1116,6280.0,297.4894956128703,0,1156.0,127.7654100294755,41,0,0.049099451722439014,0.22538286180389674,2.0270689537884916,20.32149327106257,35.05740235677822,0.32612106687704184,0.38306178448588246,0.38306178448588246,0.47996430545370716,0.47996430545370716,0.3384736686000009,0.7795292684375712,658.0314316861648,566.475159078187,479.3581040534038,394.747109018617,350.473872416871,574.6273339688381,483.0710613608603,395.95400633607716,311.3430113012904,true,true,false,0.8172807001160303,69.81817922345617,1.019257734287237,42.62241776037089,345.2407983514752,0.004720661720988102,110.27568922305761,5.004606780525834E-5,0.6005752779430795,0.01246279411473746,0.01246279411473746,42.62241776037089,1407.709913063315,1.0124628189693305,1.0124601059296525,0.9999973118149149,0.7182047967536849,0.0391621185713369,46.587184260832494,85.29252834630607,5.327543906482249,465.7559787234289,0.5330082260561232,46.65168542006965,0.024423991797860613,43.441938178780326,3.3546891003374417E-4,34.865439128356826,0.0010995696505935455,0.0010937156798707882,3.0,3.0,5.0,128.433; 1849.34; 2708.71; 4351.56,1711.4787738515722,20.457239137114165,476.4727385991286,0.00611986923639411,5.565694936278586,106.08243362708104,972.6237402492951,26.325703511155826,87.43146648199625,0.6909262563426652,2.780771006571843,9.338502570927263,0.07535816338483775,205.78342209555635,5.373382151733277,18.07139455832861,0.14618311641192566,258.8914250580029,0.31829065193956874,6.703456315849642,22.61204278213853,0.1839096412233325,391.8279826123077,10.113459503829612,34.15422485247268,0.27834426608508533,447.0850873073646,11.569623313034391,39.03575155243757,0.31759745609410645,587.7000030853177,15.46276475885499,51.86527008852128,0.4174865841545612,747.7119959935004,19.777596091470993,66.21412944663679,488.8205709354975,0.5311548842945957,2.2375855435277554,0.9317002821716583,0.9054348110777042,89.68056430733573,67.00222839758129,71.70140785256231,49.02307194280788,59.70152301841577,37.02318710866134,52.337978288747514,29.659642378993084,1.0732955038023373,B02,0
1118,6500.0,316.5943777138185,0,1711.0,154.72556349873153,43,0,0.146867663556611,0.20369069329071482,2.2139233477240787,22.194720277935623,24.005359776703227,0.22530042914912793,,,,,,,2925.292331091985,2301.382810793302,916.3665073561212,834.680412911184,749.1272903184317,2878.355505484982,2254.445985186299,869.4296817491183,787.7435873041811,true,true,false,0.7121617728465813,14.215913051949704,1.0137413482844082,14.215913051949704,681.8359867533277,0.008405377053040416,2155.3884711779447,1.1399052492632986E-4,1.0,0.013741348284408206,0.013741348284408206,14.215913051949704,4220.622325188676,1.0137413482844082,1.0137413482844082,1.0,1.0,0.03175351745058319,114.47744719518704,130.60927378889525,19.47940485026283,1535.4138534109968,1.944778657118056,153.31864472817568,0.028668931712445864,120.30075187969928,3.93949775602634E-4,14.215913051949704,9.376153593297063E-4,9.327011839548115E-4,1.0,1.0,3.0,180.168; 4400.79,2499.4418145829636,,,0.0038950473590028596,4.154206008087791,138.99056963994008,3641.594752697892,56.053581751418754,225.33714314888175,0.8628099062464919,2.139425110994765,8.600555529715772,0.032931297550705806,381.4155640703883,5.870974107166579,23.60149862816731,0.0903695082580832,501.4233260964211,0.16416213356066003,7.718204608184686,31.027422732051395,0.11880317343343574,796.3134339485147,12.257327682196685,49.27483875686493,0.1886720423185263,951.9769429887895,14.6533925445039,58.9070940740385,0.22555369081649185,1150.216657149397,17.704815555218392,71.17390954396625,0.2725229998156678,3054.439627584023,47.01574255144966,189.00474828798664,2553.016301487602,0.7236941361360684,5.091538762990596,0.762991290729911,0.6677168596425982,129.14729649203795,37.093552459100835,124.57384706782977,32.52010303489266,120.11561296002378,28.061868927086664,117.29653007760544,25.24278604466832,7.803587131584318,B02,0
1120,4598.0,268.19395966352414,0,1183.0,128.4445405612866,45,0,0.055364479225247724,0.21431819204326036,1.8252771411171118,18.298517705434705,34.88573412864625,0.35070721006932376,0.4356014929662873,0.4356014929662873,0.4963111345270963,0.4963111345270963,0.3464174020436325,0.7882976824222333,672.4240612729704,541.4059260164371,464.7011208780509,408.6837208193033,328.8238241578895,609.4946611091301,478.47652585259675,401.77172071421046,345.75432065546283,true,true,false,0.8394718214554939,70.87139079706405,1.0216586882764558,42.66937712726992,360.97118621766737,0.004964759879027632,257.3099415204678,6.411677945405556E-5,0.5831643262596725,0.014429830145161008,0.014429830145161008,42.66937712726992,1406.160671646039,1.014429830145161,1.014429830145161,1.0,0.6806826192967482,0.039874105614136,54.55869922630878,83.8879927003591,6.064378229410568,485.25093628705434,0.6070624782418926,48.648239709697485,0.025558166206165925,50.125313283208094,3.974292036440774E-4,34.57209247268094,0.0012423021627344048,0.0012346486475714555,3.0,3.0,5.0,131.043; 1866.55; 2713.15; 4349.53,1719.9007416252505,21.177286971599866,487.1185267275502,0.007341882720513787,5.909900940970533,91.92129838785485,892.3374835507474,24.08232618245263,80.05211639012211,0.6345914101737643,2.507816285702892,8.30596498672923,0.06537040911566144,222.64055561680357,5.89019742336759,19.71607609713624,0.15833223052397175,267.3345019769585,0.3406348100948558,7.0382888003804425,23.59909015224386,0.19011661139976213,415.5298854439761,10.807620475952021,36.39282673376617,0.2955066898276714,467.7949922492203,12.169637536641881,40.97641553048151,0.3326753490421715,575.6606845603418,15.05400604359081,50.594805184645104,0.4093847141141265,764.8831803892041,20.694017194228017,68.72723490281278,497.5486784122456,0.5439514813722096,2.030302430684006,0.9085089024656523,0.8687497152500708,92.45911911623371,63.46722089221928,72.40125016495297,43.40935194093854,64.28094574663547,35.28904752262104,59.111271429917046,30.119373205902615,1.577369981448103,B02,0
1121,5858.0,299.85996731808,0,1363.0,145.9314907756376,46,0,-0.0018879098310527198,0.2651712002168812,2.3619868807523448,23.679066473707717,35.25668608642597,0.26243402837052177,0.564675303393542,0.564675303393542,0.2355711808941026,0.2355711808941026,0.22663002605142196,0.6971969662259552,1357.327344227908,825.6221701746454,704.911977813498,625.7214061754914,400.8463600954301,1188.6978057577353,656.9926317044726,536.2824393433252,457.0918677053187,true,true,false,0.753895178948997,33.876141443699446,1.0139706441432548,28.447434618809137,532.9356863086165,0.015369882407615517,205.51378446115268,1.3275812444027234E-4,0.3073230488973923,0.009984085345168814,0.009984085345168814,28.447434618809137,2109.153278810197,1.0099841133105563,1.0099820836201725,0.9999979982750036,0.5039147740535552,0.049906495717148586,33.1327608716806,77.68584292486865,7.730089771985396,740.0384162877956,0.7724774647265336,74.05391876362877,0.029234143281961736,30.07518796992491,3.1501881695681776E-4,24.518331994867342,9.538024374366041E-4,9.494846378804339E-4,2.0,2.0,4.0,182.449; 2629.60; 4400.76,1701.8048676758747,6.701395766560643,477.99746252319704,0.004458145460402152,4.674076397187305,187.9532567503844,1534.3836560267655,31.99697779560084,116.1948968795066,0.7274879789165123,3.891993045968321,14.167849409537306,0.0891131330466468,376.94954752310707,7.949998786719218,28.758143774958537,0.1787207934625546,419.6418853676408,0.36059970521525486,8.9017401107694,32.13745908975511,0.19896225162182932,566.0684471802971,11.951901275905247,43.21806523620254,0.26838658568220525,665.26342715328,13.980627083328317,50.635045679301655,0.31541729747046376,806.9556681810286,17.1009731304721,61.75927735080655,0.38259697684762084,1441.9369969733036,30.04390920877966,109.13403643599183,1022.2951116056629,0.6836568074306674,2.041268849525936,0.8275981151149037,0.8417313813603058,84.60965274539569,65.28593446518406,60.97756951038788,41.653851230176244,47.55587483349393,28.232156553282294,39.54202097778847,20.21830269757683,0.7615770568407572,B02,0
1123,6874.0,312.5379976898809,0,1399.0,142.828568570857,48,0,0.07114951528317759,0.23290627468240277,1.9437433534547743,19.48614890681478,23.94333820750959,0.34320089010341054,0.38222600812579244,0.38222600812579244,0.4716728270351736,0.4716728270351736,0.3352841743755671,0.7852740374278191,738.2540388122003,612.2746260730513,498.74388746235417,409.95870894008794,387.57047646240085,660.3032764251932,534.3238636860441,420.79312507534695,332.00794655308084,true,true,false,0.8328161606810576,69.3194240297692,1.0172676609137092,42.62759852010929,341.7973349595765,0.008332156248770513,197.15956558061814,8.549413181137249E-5,0.6066654760706699,0.011300386705937582,0.011300386705937582,42.62759852010929,1407.5388265584654,1.0113003867059376,1.0113003867059376,1.0,0.7543624686096752,0.047250210873396335,41.64545137264801,69.63260788684417,5.010286213415306,506.52155523112083,0.5013928874402103,50.74587680984647,0.024095969247659558,33.41687552213863,2.992122723276501E-4,34.73056533453495,9.002789515854089E-4,8.959788779657845E-4,3.0,3.0,5.0,130.893; 1858.48; 2724.04; 4353.51,2505.9162377442253,20.10627990370033,471.9254933642097,0.005225950476942095,5.804812461447748,99.0507842685222,971.2845567151059,26.223824712773027,87.16956767218086,0.6900588022072308,2.6024397761963525,8.73327129437603,0.07037161774834201,214.5474370167766,5.578518247249843,18.789778897164158,0.15242736681115976,228.03382702785737,0.2611760299873113,5.9421378908070155,19.99903249504624,0.1620089071257925,383.44278633222456,9.899390735683268,33.42850401767808,0.2724207525200353,455.90816777015266,11.932715750862142,40.098284368875134,0.32390450562907824,625.6900042891759,16.726697522902565,55.791914734475206,0.4445277050147408,835.5244461034868,22.629794319517572,75.14101925089972,607.4906190756294,0.593606677370602,3.097634976386775,0.9005928942137437,0.8496679202219369,97.27040729128645,76.17038540977141,62.56397578885609,41.463953907341065,50.58879642054955,29.488774539034512,45.94945883006468,24.84943694854964,0.8333780566650182,B02,0
1124,5266.0,275.1817581163403,0,819.0,106.4894360957931,49,0,0.35608052796452305,0.1926207205827287,2.7065475766076936,27.13330903867362,23.922456531055243,0.12392978265747907,,,,,,,2952.7290197578977,2902.529982107642,957.5016089650239,729.3285054204273,758.7211747528231,2882.203232098027,2832.004194447771,886.9758213051532,658.8027177605566,true,true,false,0.57229257787932,14.179033703877982,1.01410981797216,14.179033703877982,466.51953093826415,0.0050544338706043,220.55137844611528,7.12912906192891E-5,1.0,0.014109817972159933,0.014109817972159933,14.179033703877982,4231.600069022329,1.01410981797216,1.01410981797216,1.0,1.0,0.02399491752251613,69.2598060168911,91.02997371878271,18.86954059441268,1428.3177972946833,1.8847543831623645,142.67897368222694,0.025295014159868227,70.17543859649126,3.569091316191084E-4,14.179033703877982,0.0012499798631394495,0.0012438788457143422,1.0,1.0,3.0,169.622; 4401.22,2508.1036273223126,,,0.0034187161218508133,2.735016957204707,105.7149655031672,3837.6538999448767,58.99476797593462,237.26350038679828,0.9069037331856198,1.6251152459404596,6.535842838488212,0.0249822676478951,265.26689503104797,4.07784530133842,16.400163665803177,0.06268713741947153,276.2462230685452,0.0902371212606266,4.246626261526917,17.078962189585877,0.06528174179096496,535.7793369551553,8.23632836468747,33.12463401734168,0.1266138879421424,802.2106081023697,12.332073169368533,49.596785402801494,0.1895761874981992,1048.1101712853829,16.11219197465577,64.79956101141602,0.24768649073387947,3061.3368335485725,47.06074620068646,189.2675868976107,2785.0906104800274,0.7234466356968051,10.081913806977049,0.7315047021994306,0.8654249389188706,108.60781379067487,73.4186359473785,79.55532984987559,44.36615200657923,76.218716265909,41.02953842261263,72.8821026819424,37.692924838646036,1.760185837490775,B02,0
